image_path,condition,contour_id,contour_points
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_310_4532dbbd--20_dbm.0045.png,2,0,"[[[134, 97]], [[132, 99]], [[133, 100]], [[135, 98]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_310_4532dbbd--20_dbm.0045.png,2,1,"[[[211, 85]], [[210, 86]], [[213, 89]], [[214, 88]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_310_4532dbbd--20_dbm.0045.png,2,2,"[[[172, 84]], [[171, 85]], [[172, 86]], [[173, 85]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_310_4532dbbd--20_dbm.0045.png,2,3,"[[[114, 82]], [[113, 83]], [[114, 84]], [[115, 83]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_316_56a71c88--20_dbm.0051.png,2,0,"[[[132, 112]], [[131, 113]], [[132, 114]], [[133, 113]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_316_56a71c88--20_dbm.0051.png,2,1,"[[[132, 103]], [[131, 104]], [[132, 105]], [[133, 104]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_316_56a71c88--20_dbm.0051.png,2,2,"[[[141, 91]], [[140, 92]], [[141, 93]], [[142, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_316_56a71c88--20_dbm.0051.png,2,3,"[[[179, 90]], [[178, 91]], [[179, 92]], [[180, 91]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,0,"[[[200, 122]], [[199, 123]], [[200, 124]], [[201, 123]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,1,"[[[132, 111]], [[128, 115]], [[129, 116]], [[133, 112]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,2,"[[[210, 109]], [[209, 110]], [[209, 111]], [[211, 113]], [[212, 113]], [[213, 112]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,3,"[[[166, 98]], [[163, 101]], [[165, 103]], [[166, 102]], [[165, 101]], [[167, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,4,"[[[151, 92]], [[150, 93]], [[151, 94]], [[152, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,5,"[[[148, 87]], [[147, 88]], [[149, 90]], [[150, 89]], [[150, 88]], [[149, 87]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_317_1876405c--20_dbm.0052.png,2,6,"[[[200, 83]], [[198, 85]], [[199, 86]], [[201, 84]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_318_8b618076--20_dbm.0053.png,2,0,"[[[194, 99]], [[193, 100]], [[194, 101]], [[195, 100]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_321_2aef1489--20_dbm.0056.png,2,0,"[[[174, 100]], [[173, 101]], [[174, 102]], [[175, 101]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_323_6819c7f9--20_dbm.0058.png,2,0,"[[[134, 84]], [[132, 86]], [[136, 90]], [[138, 88]], [[138, 87]], [[137, 86]], [[136, 86]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_324_c8057e86--20_dbm.0059.png,2,0,"[[[122, 123]], [[121, 124]], [[122, 125]], [[123, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_326_7a8b1e21--20_dbm.0061.png,2,0,"[[[114, 110]], [[113, 111]], [[111, 111]], [[108, 114]], [[107, 113]], [[106, 113]], [[105, 114]], [[107, 116]], [[108, 116]], [[109, 115]], [[111, 115]], [[115, 111]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_326_7a8b1e21--20_dbm.0061.png,2,1,"[[[89, 106]], [[88, 107]], [[88, 108]], [[92, 112]], [[94, 112]], [[95, 111]], [[99, 115]], [[101, 115]], [[102, 114]], [[97, 109]], [[96, 109]], [[95, 108]], [[93, 108]], [[92, 107]], [[91, 108]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_326_7a8b1e21--20_dbm.0061.png,2,2,"[[[124, 93]], [[123, 94]], [[123, 98]], [[122, 99]], [[122, 101]], [[120, 103]], [[120, 104]], [[119, 105]], [[119, 107]], [[120, 108]], [[122, 108]], [[123, 107]], [[123, 105]], [[124, 104]], [[123, 103]], [[124, 102]], [[124, 101]], [[126, 99]], [[125, 98]], [[125, 94]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_326_7a8b1e21--20_dbm.0061.png,2,3,"[[[97, 79]], [[93, 83]], [[92, 83]], [[90, 85]], [[91, 86]], [[92, 86]], [[94, 84]], [[96, 84]], [[97, 85]], [[98, 85]], [[100, 83]], [[101, 83]], [[102, 84]], [[105, 81]], [[106, 82]], [[107, 82]], [[108, 83]], [[109, 82]], [[110, 82]], [[111, 81]], [[114, 84]], [[115, 84]], [[116, 83]], [[117, 84]], [[119, 84]], [[120, 85]], [[121, 84]], [[121, 83]], [[119, 81]], [[118, 81]], [[116, 79]], [[114, 81]], [[113, 81]], [[112, 82]], [[109, 79]], [[107, 79]], [[106, 80]], [[105, 80]], [[104, 79]], [[103, 80]], [[102, 80]], [[100, 82]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_329_3c73145b--20_dbm.0064.png,2,0,"[[[114, 91]], [[113, 92]], [[114, 93]], [[115, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_331_8d493cd7--20_dbm.0066.png,2,0,"[[[97, 111]], [[94, 114]], [[93, 114]], [[92, 115]], [[90, 115]], [[88, 117]], [[86, 115]], [[85, 116]], [[87, 118]], [[89, 116]], [[93, 120]], [[96, 117]], [[97, 117]], [[98, 116]], [[98, 115]], [[97, 114]], [[99, 112]], [[98, 111]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_331_8d493cd7--20_dbm.0066.png,2,1,"[[[94, 96]], [[93, 97]], [[93, 98]], [[94, 99]], [[95, 98]], [[95, 97]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,0,"[[[107, 121]], [[106, 122]], [[107, 123]], [[108, 122]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,1,"[[[132, 110]], [[129, 113]], [[131, 115]], [[134, 112]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,2,"[[[173, 101]], [[172, 102]], [[173, 103]], [[174, 102]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,3,"[[[132, 97]], [[131, 98]], [[132, 99]], [[133, 98]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,4,"[[[124, 96]], [[123, 97]], [[124, 98]], [[125, 97]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,5,"[[[201, 92]], [[199, 94]], [[201, 96]], [[202, 96]], [[203, 95]], [[202, 94]], [[202, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,6,"[[[103, 89]], [[102, 90]], [[103, 91]], [[104, 90]], [[106, 92]], [[107, 91]], [[106, 90]], [[105, 91]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,7,"[[[190, 85]], [[189, 86]], [[190, 87]], [[191, 86]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_337_dd0967fb--20_dbm.0072.png,2,8,"[[[98, 80]], [[95, 83]], [[96, 84]], [[98, 84]], [[100, 82]], [[101, 82]], [[102, 83]], [[104, 81]], [[103, 80]], [[101, 82]], [[100, 82]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_344_fff60131--20_dbm.0079.png,2,0,"[[[149, 96]], [[148, 97]], [[148, 98]], [[151, 101]], [[152, 100]], [[152, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_344_fff60131--20_dbm.0079.png,2,1,"[[[177, 89]], [[176, 90]], [[176, 91]], [[178, 93]], [[179, 92]], [[181, 92]], [[182, 91]], [[180, 89]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_344_fff60131--20_dbm.0079.png,2,2,"[[[188, 83]], [[187, 84]], [[189, 86]], [[190, 85]], [[190, 84]], [[189, 83]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_345_7e198de4--20_dbm.0080.png,2,0,"[[[202, 88]], [[201, 89]], [[202, 90]], [[203, 90]], [[204, 91]], [[205, 91]], [[207, 89]], [[206, 88]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_349_0f3e4c20--20_dbm.0084.png,2,0,"[[[205, 90]], [[204, 91]], [[204, 92]], [[206, 94]], [[208, 92]], [[209, 93]], [[210, 93]], [[211, 92]], [[211, 91]], [[210, 90]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_350_cad3743a--20_dbm.0085.png,2,0,"[[[118, 99]], [[117, 100]], [[118, 101]], [[119, 100]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_350_cad3743a--20_dbm.0085.png,2,1,"[[[165, 91]], [[164, 92]], [[165, 93]], [[166, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_350_cad3743a--20_dbm.0085.png,2,2,"[[[186, 66]], [[185, 67]], [[185, 68]], [[186, 69]], [[187, 68]], [[187, 67]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_350_cad3743a--20_dbm.0085.png,2,3,"[[[194, 55]], [[193, 56]], [[195, 58]], [[196, 57]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,0,"[[[94, 114]], [[93, 115]], [[94, 116]], [[95, 115]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,1,"[[[194, 113]], [[191, 116]], [[191, 117]], [[192, 118]], [[195, 115]], [[195, 114]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,2,"[[[98, 112]], [[97, 113]], [[98, 114]], [[99, 113]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,3,"[[[126, 111]], [[123, 114]], [[124, 115]], [[127, 112]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,4,"[[[94, 108]], [[93, 109]], [[94, 110]], [[95, 109]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,5,"[[[186, 104]], [[185, 105]], [[186, 106]], [[187, 105]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,6,"[[[95, 97]], [[94, 98]], [[96, 100]], [[99, 100]], [[101, 98]], [[100, 97]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,7,"[[[146, 64]], [[145, 65]], [[146, 66]], [[147, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,8,"[[[165, 62]], [[164, 63]], [[165, 64]], [[166, 63]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_357_7a0fdd45--20_dbm.0092.png,2,9,"[[[200, 59]], [[199, 60]], [[201, 62]], [[202, 61]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_360_9bccaf3c--20_dbm.0095.png,2,0,"[[[137, 77]], [[131, 83]], [[132, 84]], [[132, 91]], [[136, 95]], [[137, 95]], [[138, 96]], [[144, 96]], [[146, 94]], [[147, 94]], [[151, 90]], [[151, 85]], [[152, 84]], [[151, 83]], [[151, 82]], [[150, 81]], [[150, 80]], [[149, 79]], [[148, 79]], [[147, 78]], [[146, 78]], [[145, 77]], [[141, 77]], [[140, 78]], [[139, 77]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_364_91a94479-image_97.png,2,0,"[[[189, 86]], [[188, 87]], [[192, 91]], [[192, 92]], [[188, 96]], [[187, 96]], [[184, 93]], [[184, 91]], [[185, 90]], [[184, 89]], [[181, 92]], [[186, 97]], [[187, 97]], [[188, 98]], [[189, 97]], [[190, 98]], [[194, 94]], [[194, 93]], [[192, 91]], [[193, 90]], [[192, 89]], [[192, 88]], [[190, 86]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_364_91a94479-image_97.png,2,1,"[[[102, 80]], [[101, 81]], [[102, 82]], [[103, 81]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_364_91a94479-image_97.png,2,2,"[[[98, 77]], [[97, 78]], [[98, 79]], [[97, 80]], [[98, 81]], [[100, 79]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_364_91a94479-image_97.png,2,3,"[[[208, 64]], [[207, 65]], [[210, 68]], [[213, 65]], [[212, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_364_91a94479-image_97.png,2,4,"[[[192, 64]], [[191, 65]], [[192, 66]], [[193, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_366_0db64aa5-image_99.png,2,0,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_368_405b17d1-image_1.png,2,0,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_373_54ca2295-image_6.png,2,0,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,0,"[[[193, 124]], [[192, 125]], [[193, 126]], [[194, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,1,"[[[165, 124]], [[164, 125]], [[165, 126]], [[166, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,2,"[[[186, 104]], [[185, 105]], [[186, 106]], [[187, 105]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,3,"[[[88, 73]], [[86, 75]], [[87, 76]], [[88, 75]], [[89, 75]], [[90, 76]], [[91, 75]], [[93, 77]], [[94, 77]], [[95, 76]], [[97, 78]], [[99, 76]], [[98, 75]], [[96, 77]], [[94, 75]], [[93, 75]], [[92, 76]], [[89, 73]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,4,"[[[209, 64]], [[208, 65]], [[209, 66]], [[210, 66]], [[211, 65]], [[210, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_374_49e0e472-image_7.png,2,5,"[[[194, 64]], [[193, 65]], [[194, 66]], [[195, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_376_568cb57d-image_9.png,2,0,"[[[194, 64]], [[193, 65]], [[194, 66]], [[195, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_386_b6e098bf-image_19.png,2,0,"[[[183, 108]], [[182, 109]], [[183, 110]], [[184, 109]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_386_b6e098bf-image_19.png,2,1,"[[[214, 102]], [[213, 103]], [[213, 105]], [[215, 107]], [[216, 106]], [[216, 104]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_387_97846272-image_20.png,2,0,"[[[186, 104]], [[185, 105]], [[186, 106]], [[187, 105]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_387_97846272-image_20.png,2,1,"[[[194, 64]], [[193, 65]], [[194, 66]], [[196, 66]], [[197, 65]], [[196, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_390_0beb4f6d-image_23.png,2,0,"[[[200, 123]], [[199, 124]], [[200, 125]], [[201, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_390_0beb4f6d-image_23.png,2,1,"[[[187, 101]], [[186, 102]], [[187, 103]], [[188, 102]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_390_0beb4f6d-image_23.png,2,2,"[[[103, 80]], [[102, 81]], [[103, 82]], [[104, 81]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_390_0beb4f6d-image_23.png,2,3,"[[[209, 64]], [[208, 65]], [[209, 66]], [[210, 66]], [[211, 65]], [[210, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,0,"[[[121, 124]], [[120, 125]], [[118, 125]], [[117, 126]], [[118, 127]], [[119, 127]], [[120, 126]], [[121, 126]], [[122, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,1,"[[[149, 75]], [[148, 76]], [[150, 78]], [[147, 81]], [[146, 81]], [[145, 80]], [[144, 81]], [[144, 82]], [[147, 85]], [[152, 80]], [[152, 79]], [[151, 78]], [[150, 78]], [[149, 77]], [[150, 76]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,2,"[[[136, 73]], [[134, 75]], [[132, 75]], [[131, 76]], [[132, 77]], [[133, 77]], [[134, 76]], [[136, 76]], [[137, 75]], [[137, 74]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,3,"[[[141, 72]], [[140, 73]], [[141, 74]], [[142, 74]], [[143, 73]], [[142, 72]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,4,"[[[155, 65]], [[154, 66]], [[155, 67]], [[156, 66]], [[157, 66]], [[159, 68]], [[161, 66]], [[160, 65]], [[158, 65]], [[157, 66]], [[156, 66]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,5,"[[[215, 64]], [[214, 65]], [[216, 67]], [[217, 66]], [[218, 66]], [[219, 65]], [[218, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_392_3ee9e7c0-image_25.png,2,6,"[[[206, 64]], [[205, 65]], [[208, 68]], [[209, 68]], [[212, 65]], [[211, 64]], [[209, 64]], [[208, 65]], [[207, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_393_8e0bc43a-image_26.png,2,0,"[[[95, 107]], [[94, 108]], [[95, 109]], [[96, 108]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_393_8e0bc43a-image_26.png,2,1,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_394_fa4cd05f-image_27.png,2,0,"[[[189, 124]], [[188, 125]], [[189, 126]], [[190, 126]], [[191, 125]], [[190, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_394_fa4cd05f-image_27.png,2,1,"[[[218, 64]], [[217, 65]], [[218, 66]], [[219, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_394_fa4cd05f-image_27.png,2,2,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_398_6590c64a-image_31.png,2,0,"[[[188, 124]], [[187, 125]], [[188, 126]], [[189, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_398_6590c64a-image_31.png,2,1,"[[[209, 64]], [[208, 65]], [[208, 66]], [[210, 68]], [[211, 68]], [[214, 65]], [[213, 64]], [[212, 64]], [[211, 65]], [[210, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_398_6590c64a-image_31.png,2,2,"[[[195, 64]], [[194, 65]], [[195, 66]], [[196, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_410_f6442878-image_43.png,2,0,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_411_42599d6a-image_44.png,2,0,"[[[218, 99]], [[217, 100]], [[217, 101]], [[218, 102]], [[216, 104]], [[216, 107]], [[217, 108]], [[218, 107]], [[218, 104]], [[217, 103]], [[219, 101]], [[219, 100]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_412_3e1830df-image_45.png,2,0,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_413_33f50dfa-image_46.png,2,0,"[[[209, 64]], [[208, 65]], [[210, 67]], [[211, 67]], [[213, 65]], [[212, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_413_33f50dfa-image_46.png,2,1,"[[[165, 64]], [[164, 65]], [[165, 66]], [[166, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_416_77979d8d-image_49.png,2,0,"[[[208, 124]], [[207, 125]], [[208, 126]], [[209, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_416_77979d8d-image_49.png,2,1,"[[[170, 124]], [[169, 125]], [[170, 126]], [[171, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_416_77979d8d-image_49.png,2,2,"[[[146, 72]], [[145, 73]], [[146, 74]], [[147, 73]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_416_77979d8d-image_49.png,2,3,"[[[210, 64]], [[209, 65]], [[211, 67]], [[212, 66]], [[213, 66]], [[215, 68]], [[218, 65]], [[217, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_419_c7dd6b89-image_52.png,2,0,"[[[207, 124]], [[206, 125]], [[207, 126]], [[208, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_419_c7dd6b89-image_52.png,2,1,"[[[99, 104]], [[97, 106]], [[96, 106]], [[94, 108]], [[94, 110]], [[97, 113]], [[98, 112]], [[96, 110]], [[97, 109]], [[97, 108]], [[100, 105]], [[101, 105]], [[104, 108]], [[104, 109]], [[100, 113]], [[101, 114]], [[105, 110]], [[104, 109]], [[104, 108]], [[105, 107]], [[105, 106]], [[103, 104]], [[102, 104]], [[101, 105]], [[100, 105]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_419_c7dd6b89-image_52.png,2,2,"[[[209, 64]], [[208, 65]], [[211, 68]], [[214, 65]], [[213, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_420_68a9846b-image_53.png,2,0,"[[[186, 123]], [[185, 124]], [[186, 125]], [[187, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_422_5bbccb79-image_55.png,2,0,"[[[180, 124]], [[179, 125]], [[180, 126]], [[181, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_422_5bbccb79-image_55.png,2,1,"[[[147, 72]], [[146, 73]], [[148, 75]], [[149, 74]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_422_5bbccb79-image_55.png,2,2,"[[[210, 64]], [[209, 65]], [[210, 66]], [[211, 65]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_428_960d2c34-image_61.png,2,0,"[[[129, 95]], [[128, 96]], [[124, 96]], [[123, 97]], [[122, 97]], [[121, 98]], [[120, 98]], [[116, 102]], [[116, 103]], [[115, 104]], [[115, 108]], [[114, 109]], [[114, 112]], [[115, 113]], [[115, 114]], [[116, 115]], [[116, 118]], [[121, 123]], [[122, 123]], [[123, 124]], [[124, 124]], [[125, 125]], [[134, 125]], [[135, 124]], [[136, 124]], [[138, 122]], [[139, 122]], [[143, 118]], [[143, 117]], [[145, 115]], [[145, 110]], [[146, 109]], [[145, 108]], [[145, 106]], [[144, 105]], [[144, 102]], [[138, 96]], [[137, 96]], [[136, 95]], [[135, 95]], [[134, 96]], [[133, 95]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_429_600a9238-image_62.png,2,0,"[[[198, 95]], [[197, 96]], [[188, 96]], [[182, 102]], [[182, 107]], [[181, 108]], [[181, 109]], [[182, 110]], [[182, 111]], [[183, 112]], [[183, 113]], [[184, 114]], [[184, 115]], [[186, 117]], [[187, 117]], [[188, 118]], [[189, 118]], [[190, 119]], [[198, 119]], [[200, 117]], [[201, 117]], [[202, 116]], [[203, 116]], [[205, 114]], [[205, 113]], [[206, 112]], [[206, 111]], [[207, 110]], [[207, 103]], [[206, 102]], [[206, 101]], [[205, 100]], [[205, 99]], [[202, 96]], [[200, 96]], [[199, 95]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_433_d8c46e92-image_66.png,2,0,"[[[211, 98]], [[210, 99]], [[210, 100]], [[211, 101]], [[212, 100]], [[212, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_433_d8c46e92-image_66.png,2,1,"[[[203, 87]], [[202, 88]], [[205, 91]], [[206, 90]]]"
